model_name,scs,l3_weight_cuts,l3_output_cuts,lcus,weights,ops_per_image,macs_per_image,pure_ops_per_image,pure_macs_per_image,power,fps,subclusters_per_target,l3_cuts_per_target,layers_per_target,l2_cuts_per_target_normalized,l2_cuts_used_normalized,profiling_mode,layers,l3_total_cuts,net_input_throughput,gross_input_throughput,net_output_throughput,gross_output_throughput,latency,input_aligners,input_aligners_per_target,apus,apus_per_target,l4_cuts,l4_cuts_per_target,l2_weights,l2_data_usage,l2_cuts_per_target,number_of_devices,number_of_contexts,calibration,transpose,resize_input,normalization,input_conversion,nms,optimization_level,compression_level,compression_rate,hw_arch,stream_fps,optimization_goal_fps,context_switch_configs,l2_cut_size,l3_cut_size,l4_cut_size
yolov8n-pose,514,378,324,160,3289948.0,9177729600.0,4604315200.0,9177729600.0,4604315200.0,,N/A,512,1024,128,256.0,257.0,post_placement,113,702,N/A,N/A,N/A,N/A,N/A,186,256,152,160,8,28,0,1013632,512,2,2,64.0,False,False,False,False,False,0,0,N/A,hailo8,,,,16384.0,32768.0,131072.0

context_name,csw_scs_mac_util,b8_csw_scs_mac_util, ,mapping_util,active_mac_util,width_align_util,feature_align_util,balance_fps_util,mac_layers_util,effective_mac_util,scs_mac_util, ,fps,1/fps (s),drain (s),latency_util,b8_latency_util, ,context_overhead,overhead_util,b8_overhead_util,total_mac_util,b8_total_mac_util
contexts_total,0.15006902595433425,0.24151792310456616,,0.5123274475049973,0.7890205454782073,0.9205298851686772,0.9656012574476672,0.811789562127877,0.9155022808615226,0.5709902395348322,0.2645479107350383,,no runtime data,no runtime data,N/A,0.5672659653118107,0.9129458721995422,,no runtime data,no runtime data,no runtime data,no runtime data,no runtime data
context_0,0.10743156247249973,0.18213949679033314,,0.4609375,0.668585682137035,0.9376393984784053,0.9811428700854655,0.7758281183936714,0.8983050847457628,0.48840348177770726,0.2022295666735819,,1642.4069473813875,0.0006088625,0.0005372624999999999,0.5312356854618824,0.9006571085835531,,no runtime data,,,,
context_1,0.18779492250127758,0.2892478732498946,,0.54296875,0.8681796774225227,0.9121054053722101,0.9579207543932778,0.8312934971622445,0.9244604316546763,0.6244363489386987,0.31343777671337025,,1288.4979013590432,0.0007760975,0.0005192425,0.5991457841184554,0.9228239055383658,,no runtime data,,,,

layer_name,layer_type,input_height,input_width,output_channels,input_channels,kernel_height,kernel_width,strides_row,strides_col,predecessors,successors,weights,macs,power,fps,total cycles,theoretical cycles,scs,apus,input_aligners,of_per_sc,of_per_mac,l3_output_cuts,l2_weights_usage_ratio,groups,dilation_height,dilation_width,16x4_configuration,elementwise_feed_repeat,ew_add_enabled,defuse_mode,node_layer_input_bw,node_layer_output_bw,defuse_name,l3_weight_cuts,l4_cuts,lcus,node_layer_latency,deprecated,output_features_per_sc,mac_computation_utilization,apu_activation_utilization,subcluster_utilization,buffers_num,buffer_size,context,did_reach_fps,latency,l2_weights,ops,l2_data_usage,input_activation_bits,input_range_min,input_range_max,kernel_range_min,kernel_range_max,output_range_min,output_range_max,output_activation_bits,weights_bits,bias_bits,active_mac_util,width_align_util,feature_align_util,balance_fps_util,mac_layers_util,effective_mac_util
conv1,conv,640,640,16,3,3,3,2,2,input_layer1,conv2,448.0,45875200,,1642.41,243545,60480,15.0,9.0,9.0,16,1,16.0,,1,1,1,False,,False,combined (SPATIAL_W),13066.62387084961,12799.95849609375,,12.0,0.0,9.0,0.7678550000000001,0,16,0.40073126554489136,0.39029400547345483,0.33397798245953664,241.0,15744,context_0,True,0.000773145,0,88473600,10240,8,-1.0078740119934082,1.0,-15.499174118041992,7.551661968231201,-0.18443290889263153,4.091057300567627,8,8,16,0.2913311308212639,1.0,1.0,0.8439750039445947,0.8,0.24578620653513306
conv2,conv,320,320,32,16,3,3,2,2,conv1,conv_feature_splitter1_1 conv_feature_splitter1_2,4640.0,118784000,,1749.57,228628,92160,23.0,8.0,8.0,32,1,14.0,,1,1,1,False,,False,combined (SPATIAL_W),13866.621704101562,5333.3160400390625,,20.0,0.0,8.0,0.7675775,0,32,0.46678109272666596,0.36021236423403025,0.4021897533189039,186.0,19456,context_0,True,0.0007807475,0,235929600,10240,8,-0.18443290889263153,4.091057300567627,-1.9113627672195435,1.492749571800232,-0.31645631790161133,9.770588874816895,8,8,16,0.41550588810120065,1.0,1.0,0.9207957075245067,0.8695652173913043,0.3826315406178936
conv_feature_splitter1_1,conv,160,160,16,32,1,1,1,1,conv2,concat1,528.0,13516800.0,,2143.84,186581,102400.0,2,1,2,8,2,1,0.0,1,1,1,True,,False,,1066.6632080078125,533.3316040039062,yolov8n-pose/conv_feature_splitter1_1,1,0,1,0.766095,0,8,0.5659740567207336,0.2744116485118866,0.4335954565973894,12,2560,context_0,True,0.00078366,0,26214400.0,512,8,-0.31645631790161133,9.770588874816895,-1.271605372428894,1.1442936658859253,-0.4610421657562256,8.582477569580078,8,8,16,0.5659740567207336,1.0,1.0,0.7661048266234166,1.0,0.4335954565973894
conv_feature_splitter1_2,conv,160,160,16,32,1,1,1,1,conv2,conv4 ew_add1 concat1,528.0,13516800.0,,2143.84,186581,102400.0,2,1,2,8,2,2,0.0,1,1,1,True,,False,,1066.6632080078125,533.3316040039062,yolov8n-pose/conv_feature_splitter1_2,1,0,1,0.766095,0,8,0.5659740567207336,0.2744116485118866,0.4335954565973894,24,2560,context_0,True,0.00078366,0,26214400.0,512,8,-0.31645631790161133,9.770588874816895,-1.0210245847702026,0.6160871982574463,-0.2822907269001007,5.254950046539307,8,8,16,0.5659740567207336,1.0,1.0,0.7661048266234166,1.0,0.4335954565973894
conv4,conv,160,160,16,16,3,3,1,1,conv_feature_splitter1_2,conv5,2320.0,59392000,,2322.66,172216,115200,9.0,3.0,5.0,16,1,3.0,,1,1,1,False,,False,combined (SPATIAL_W),1333.3290100097656,1066.6632080078125,,4.0,0.0,3.0,0.7679675,0,16,0.6941573884752062,0.36060068011283875,0.4520086314552065,62.0,5120,context_0,True,0.0007894625,0,117964800,15360,8,-0.2822907269001007,5.254950046539307,-1.3363609313964844,0.9709933996200562,-0.29765939712524414,6.602626323699951,8,8,16,0.6829150429937947,1.0,1.0,0.7061350677140175,0.8888888888888888,0.4822311993015699
conv5,conv,160,160,16,16,3,3,1,1,conv4,ew_add1,2320.0,59392000,,2322.66,172216,115200,10.0,4.0,6.0,16,1,4.0,,1,1,1,False,,False,combined (),1866.6606140136719,1066.6632080078125,,4.0,0.0,4.0,0.7658325,0,16,0.7196636915206909,0.5077556148171425,0.4278305773087079,74.0,7680,context_0,True,0.0007966475,0,117964800,15360,8,-0.29765939712524414,6.602626323699951,-1.3083722591400146,0.983698308467865,-0.29673826694488525,6.5821943283081055,8,8,16,0.6829150429937947,1.0,1.0,0.7061350677140175,0.8,0.4822311993015699
ew_add1,ew_add,160,160,16,16,,,,,conv_feature_splitter1_2 conv5,concat1,0,204800.0,,2550.71,156819,,1,1,1,16,0,1,0.0,,,,False,,False,,533.3316040039062,0.0,yolov8n-pose/ew_add1,1,0,1,0.761145,0,16,0.6529821157455444,0.3264910578727722,0.42045618842144383,12,2560,context_0,True,0.0007994225,0,409600.0,0,N/A,N/A,N/A,N/A,N/A,-0.7313451170921326,13.614270210266113,8,8,16,0.6529821157455444,1.0,1.0,0.6439015377035046,1.0,0.42045618842144383
concat1,concat,160|160|160,160|160|160,48,16|16|16,,,,,conv_feature_splitter1_1 conv_feature_splitter1_2 ew_add1,conv6,0,0,,2070.92,193151,,1,1,1,48,0,4,1,,,,False,,False,,533.3316040039062,0.0,yolov8n-pose/concat1,0,0,1,0.7631775000000001,0,48,0.7952327728271484,0.7952327728271484,0.6306842895741508,4,384,context_0,True,0.0008039025,0,0,0,N/A,-0.4610421657562256,8.582477569580078,N/A,N/A,-0.7313451170921326,13.614270210266113,8,N/A,N/A,0.7952327728271484,1.0,1.0,0.7930813607341559,0.0,0.6306842895741508
conv6,conv,160,160,32,48,1,1,1,1,concat1,conv7,1568.0,40140800.0,,2045.61,195541,153600.0,4,1,1,8,1,3,0.0,1,1,1,False,,False,,1599.9947509765625,1066.6632080078125,yolov8n-pose/conv6,4,0,1,0.7633775,0,8,0.8018778562545776,0.5236753225326538,0.6438235147092995,18,5120,context_0,True,0.000804255,0,78643200.0,512,8,-0.7313451170921326,13.614270210266113,-0.47722455859184265,0.373611181974411,-0.28188416361808777,4.510146617889404,8,8,16,0.8018778562545776,1.0,1.0,0.8028947422447597,1.0,0.6438235147092995
conv7,conv,160,160,64,32,3,3,2,2,conv6,conv_feature_splitter2_1 conv_feature_splitter2_2,18496.0,118374400,,1819.07,219892,92160,25.0,4.0,4.0,64,1,4.0,,1,1,1,False,,False,combined (SPATIAL_W),3413.322265625,1599.9948120117188,,24.0,0.0,4.0,0.764225,0,64,0.43714775323867794,0.2232997938990593,0.3147245875073237,70.0,10240,context_0,True,0.0008108225,0,235929600,10240,8,-0.28188416361808777,4.510146617889404,-0.567513108253479,0.4510847330093384,-0.2872234284877777,2.642455577850342,8,8,16,0.4296360979507333,1.0,1.0,0.7421316795848045,0.96,0.31907860798103405
